**solved in this iteration:**
inputs\large-1.in 1639.8999999999996
inputs\large-10.in 1593.9
inputs\large-100.in 458.11
inputs\large-101.in 1466.364
inputs\large-103.in 1555.193
inputs\large-104.in 1438.4840000000002
inputs\large-105.in 291.0
inputs\large-112.in 1100.5099999999998
inputs\large-116.in 1641.6589999999999
inputs\large-117.in 319.96700000000004
inputs\large-119.in 169.0
inputs\large-120.in 1324.348
inputs\large-121.in 1591.0
inputs\large-122.in 7.736
inputs\large-124.in 169.314
inputs\large-126.in 1465.0
inputs\large-127.in 73.83399999999999
inputs\large-129.in 85.0
inputs\large-13.in 119.0
inputs\large-133.in 336.0
inputs\large-134.in 34.0
inputs\large-138.in 289.0
inputs\large-14.in 1699.9830000000002
inputs\large-140.in 1500.7289999999998
inputs\large-142.in 136.71799999999996
inputs\large-143.in 1622.012
inputs\large-144.in 166.183
inputs\large-146.in 1647.059
inputs\large-149.in 0.169
inputs\large-150.in 1668.953
inputs\large-152.in 145.19999999999996
inputs\large-153.in 918.5570000000001
inputs\large-154.in 252.87
inputs\large-157.in 85.0
inputs\large-158.in 1643.0
inputs\large-16.in 414.0160000000001
inputs\large-160.in 166.0
inputs\large-161.in 1604.2130000000002
inputs\large-162.in 418.74999999999994
inputs\large-163.in 18.15
inputs\large-164.in 165.49200000000002
inputs\large-165.in 309.55299999999994
inputs\large-167.in 596.441
inputs\large-168.in 7.301999999999999
inputs\large-176.in 1191.397
inputs\large-178.in 87.01999999999998
inputs\large-179.in 332.867
inputs\large-18.in 1573.944
inputs\large-180.in 1188.5569999999998
inputs\large-181.in 166.76400000000004
inputs\large-182.in 165.313
inputs\large-186.in 314.182
inputs\large-187.in 87.01999999999998
inputs\large-188.in 1330.0209999999997
inputs\large-189.in 1653.54
inputs\large-190.in 30.862999999999996
inputs\large-191.in 1152.998
inputs\large-195.in 1630.8179999999995
inputs\large-198.in 1347.115
inputs\large-199.in 340.0
inputs\large-2.in 90.09999999999998
inputs\large-201.in 17.0
inputs\large-202.in 974.0
inputs\large-205.in 1634.0
inputs\large-209.in 79.66300000000001
